name;wmc;atfd;tcc
javax.annotation.Generated;0;9;0.0
javax.annotation.PostConstruct;0;2;0.0
javax.annotation.PreDestroy;0;2;0.0
javax.annotation.Resource;0;6;0.0
javax.annotation.Resources;0;2;0.0
javax.annotation.security.DeclareRoles;0;2;0.0
javax.annotation.security.DenyAll;0;2;0.0
javax.annotation.security.PermitAll;0;3;0.0
javax.annotation.security.RolesAllowed;0;3;0.0
javax.annotation.security.RunAs;0;2;0.0
javax.ejb.EJB;0;5;0.0
javax.ejb.EJBs;0;2;0.0
javax.el.ArrayELResolver;38;15;0.0
javax.el.BeanELResolver;85;57;0.0
javax.el.CompositeELResolver;36;11;0.0
javax.el.ELContext;13;0;0.0
javax.el.ELContextEvent;1;0;0.0
javax.el.ELContextListener;1;0;0.0
javax.el.ELException;0;0;0.0
javax.el.ELResolver;12;5;0.0
javax.el.Expression;4;0;0.0
javax.el.ExpressionFactory;45;12;0.03571428571428571
javax.el.FunctionMapper;1;0;0.0
javax.el.ListELResolver;35;13;0.0
javax.el.MapELResolver;21;13;0.0
javax.el.MethodExpression;3;0;0.0
javax.el.MethodInfo;3;0;0.0
javax.el.MethodNotFoundException;0;0;0.0
javax.el.PropertyNotFoundException;0;0;0.0
javax.el.PropertyNotWritableException;0;0;0.0
javax.el.ResourceBundleELResolver;19;14;0.0
javax.el.ValueExpression;6;0;0.0
javax.el.ValueReference;2;0;0.0
javax.el.VariableMapper;2;0;0.0
javax.mail.Authenticator;0;0;0.0
javax.mail.PasswordAuthentication;0;0;0.0
javax.mail.Session;2;0;0.0
javax.mail.internet.InternetAddress;0;0;0.0
javax.mail.internet.MimeMessage;2;0;0.0
javax.mail.internet.MimePart;0;0;0.0
javax.mail.internet.MimePartDataSource;0;0;0.0
javax.persistence.PersistenceContext;0;5;0.0
javax.persistence.PersistenceContextType;0;0;0.0
javax.persistence.PersistenceContexts;0;2;0.0
javax.persistence.PersistenceProperty;0;1;0.0
javax.persistence.PersistenceUnit;0;4;0.0
javax.persistence.PersistenceUnits;0;2;0.0
javax.servlet.AsyncContext;13;0;0.0
javax.servlet.AsyncEvent;4;0;0.0
javax.servlet.AsyncListener;4;0;0.0
javax.servlet.DispatcherType;0;0;0.0
javax.servlet.Filter;3;0;0.0
javax.servlet.FilterChain;1;0;0.0
javax.servlet.FilterConfig;4;0;0.0
javax.servlet.FilterRegistration;4;0;0.0
javax.servlet.GenericServlet;12;1;0.0
javax.servlet.HttpConstraintElement;5;6;0.0
javax.servlet.HttpMethodConstraintElement;5;8;0.0
javax.servlet.MultipartConfigElement;6;0;0.0
javax.servlet.Registration;7;0;0.0
javax.servlet.RequestDispatcher;2;0;0.0
javax.servlet.Servlet;5;0;0.0
javax.servlet.ServletConfig;4;0;0.0
javax.servlet.ServletContainerInitializer;1;0;0.0
javax.servlet.ServletContext;51;0;0.0
javax.servlet.ServletContextAttributeEvent;2;0;0.0
javax.servlet.ServletContextAttributeListener;3;0;0.0
javax.servlet.ServletContextEvent;1;0;0.0
javax.servlet.ServletContextListener;2;0;0.0
javax.servlet.ServletException;1;0;0.0
javax.servlet.ServletInputStream;6;0;0.0
javax.servlet.ServletOutputStream;19;4;0.0
javax.servlet.ServletRegistration;7;0;0.0
javax.servlet.ServletRequest;36;0;0.0
javax.servlet.ServletRequestAttributeEvent;2;0;0.0
javax.servlet.ServletRequestAttributeListener;3;0;0.0
javax.servlet.ServletRequestEvent;2;0;0.0
javax.servlet.ServletRequestListener;2;0;0.0
javax.servlet.ServletRequestWrapper;46;5;0.001422475106685633
javax.servlet.ServletResponse;15;0;0.0
javax.servlet.ServletResponseWrapper;25;1;0.006535947712418301
javax.servlet.ServletSecurityElement;8;5;0.0
javax.servlet.SessionCookieConfig;14;0;0.0
javax.servlet.SessionTrackingMode;0;0;0.0
javax.servlet.SingleThreadModel;0;0;0.0
javax.servlet.UnavailableException;6;0;0.3333333333333333
javax.servlet.annotation.HandlesTypes;0;2;0.0
javax.servlet.annotation.HttpConstraint;0;3;0.0
javax.servlet.annotation.HttpMethodConstraint;0;3;0.0
javax.servlet.annotation.MultipartConfig;0;2;0.0
javax.servlet.annotation.ServletSecurity;0;2;0.0
javax.servlet.annotation.WebFilter;0;3;0.0
javax.servlet.annotation.WebInitParam;0;2;0.0
javax.servlet.annotation.WebListener;0;2;0.0
javax.servlet.annotation.WebServlet;0;2;0.0
javax.servlet.descriptor.JspConfigDescriptor;2;0;0.0
javax.servlet.descriptor.JspPropertyGroupDescriptor;12;0;0.0
javax.servlet.descriptor.TaglibDescriptor;2;0;0.0
javax.servlet.http.Cookie;31;10;0.04678362573099415
javax.servlet.http.HttpServlet;60;48;0.016666666666666666
javax.servlet.http.HttpServletRequest;30;0;0.0
javax.servlet.http.HttpServletRequestWrapper;31;0;0.0
javax.servlet.http.HttpServletResponse;21;0;0.0
javax.servlet.http.HttpServletResponseWrapper;22;0;0.0
javax.servlet.http.HttpSession;17;0;0.0
javax.servlet.http.HttpSessionActivationListener;2;0;0.0
javax.servlet.http.HttpSessionAttributeListener;3;0;0.0
javax.servlet.http.HttpSessionBindingEvent;3;0;0.0
javax.servlet.http.HttpSessionBindingListener;2;0;0.0
javax.servlet.http.HttpSessionContext;2;0;0.0
javax.servlet.http.HttpSessionEvent;1;0;0.0
javax.servlet.http.HttpSessionListener;2;0;0.0
javax.servlet.http.HttpUtils;25;17;0.0
javax.servlet.http.Part;9;0;0.0
javax.servlet.jsp.ErrorData;4;0;0.0
javax.servlet.jsp.HttpJspPage;1;0;0.0
javax.servlet.jsp.JspApplicationContext;3;0;0.0
javax.servlet.jsp.JspContext;15;0;0.0
javax.servlet.jsp.JspEngineInfo;1;0;0.0
javax.servlet.jsp.JspException;1;0;0.0
javax.servlet.jsp.JspFactory;6;1;0.06666666666666667
javax.servlet.jsp.JspPage;2;0;0.0
javax.servlet.jsp.JspTagException;0;0;0.0
javax.servlet.jsp.JspWriter;27;0;0.0
javax.servlet.jsp.PageContext;17;0;0.0
javax.servlet.jsp.SkipPageException;0;0;0.0
javax.servlet.jsp.el.ELException;1;0;0.0
javax.servlet.jsp.el.ELParseException;0;0;0.0
javax.servlet.jsp.el.Expression;1;0;0.0
javax.servlet.jsp.el.ExpressionEvaluator;2;0;0.0
javax.servlet.jsp.el.FunctionMapper;1;0;0.0
javax.servlet.jsp.el.ImplicitObjectELResolver;125;37;0.006896551724137931
javax.servlet.jsp.el.ScopedAttributeELResolver;23;68;0.0
javax.servlet.jsp.el.VariableResolver;1;0;0.0
javax.servlet.jsp.tagext.BodyContent;7;0;0.0
javax.servlet.jsp.tagext.BodyTag;2;0;0.0
javax.servlet.jsp.tagext.BodyTagSupport;8;1;0.03571428571428571
javax.servlet.jsp.tagext.DynamicAttributes;1;0;0.0
javax.servlet.jsp.tagext.FunctionInfo;3;0;0.0
javax.servlet.jsp.tagext.IterationTag;1;0;0.0
javax.servlet.jsp.tagext.JspFragment;2;0;0.0
javax.servlet.jsp.tagext.JspIdConsumer;1;0;0.0
javax.servlet.jsp.tagext.JspTag;0;0;0.0
javax.servlet.jsp.tagext.PageData;1;0;0.0
javax.servlet.jsp.tagext.SimpleTag;5;0;0.0
javax.servlet.jsp.tagext.SimpleTagSupport;19;3;0.0
javax.servlet.jsp.tagext.Tag;6;0;0.0
javax.servlet.jsp.tagext.TagAdapter;11;1;0.0
javax.servlet.jsp.tagext.TagAttributeInfo;14;1;0.13636363636363635
javax.servlet.jsp.tagext.TagData;9;6;0.0
javax.servlet.jsp.tagext.TagExtraInfo;6;3;0.1
javax.servlet.jsp.tagext.TagFileInfo;3;0;0.0
javax.servlet.jsp.tagext.TagInfo;23;5;0.014705882352941176
javax.servlet.jsp.tagext.TagLibraryInfo;25;6;0.07692307692307693
javax.servlet.jsp.tagext.TagLibraryValidator;4;0;0.5
javax.servlet.jsp.tagext.TagSupport;27;5;0.17582417582417584
javax.servlet.jsp.tagext.TagVariableInfo;5;0;0.0
javax.servlet.jsp.tagext.TryCatchFinally;2;0;0.0
javax.servlet.jsp.tagext.ValidationMessage;2;0;0.0
javax.servlet.jsp.tagext.VariableInfo;4;0;0.0
javax.xml.ws.WebServiceRef;0;6;0.0
javax.xml.ws.WebServiceRefs;0;2;0.0
org.apache.catalina.AccessLog;1;0;0.0
org.apache.catalina.Authenticator;2;0;0.0
org.apache.catalina.CatalinaFactory;3;1;0.0
org.apache.catalina.Cluster;11;0;0.0
org.apache.catalina.Contained;2;0;0.0
org.apache.catalina.Container;37;0;0.0
org.apache.catalina.ContainerEvent;4;0;0.0
org.apache.catalina.ContainerListener;1;0;0.0
org.apache.catalina.ContainerServlet;2;0;0.0
org.apache.catalina.Context;141;0;0.0
org.apache.catalina.Engine;6;0;0.0
org.apache.catalina.Executor;2;0;0.0
org.apache.catalina.Globals;0;3;0.0
org.apache.catalina.Group;11;0;0.0
org.apache.catalina.Host;18;0;0.0
org.apache.catalina.InstanceEvent;7;0;0.0
org.apache.catalina.InstanceListener;1;0;0.0
org.apache.catalina.Lifecycle;8;0;0.0
org.apache.catalina.LifecycleEvent;3;0;0.0
org.apache.catalina.LifecycleException;6;0;0.6666666666666666
org.apache.catalina.LifecycleListener;1;0;0.0
org.apache.catalina.LifecycleState;2;8;0.0
org.apache.catalina.Loader;14;0;0.0
org.apache.catalina.Manager;35;0;0.0
org.apache.catalina.Pipeline;9;0;0.0
org.apache.catalina.Realm;13;0;0.0
org.apache.catalina.Role;5;0;0.0
org.apache.catalina.Server;14;0;0.0
org.apache.catalina.Service;14;0;0.0
org.apache.catalina.Session;32;0;0.0
org.apache.catalina.SessionEvent;4;0;0.0
org.apache.catalina.SessionListener;1;0;0.0
org.apache.catalina.Store;11;0;0.0
org.apache.catalina.User;17;0;0.0
org.apache.catalina.UserDatabase;16;0;0.0
org.apache.catalina.Valve;7;0;0.0
org.apache.catalina.Wrapper;39;0;0.0
org.apache.catalina.ant.AbstractCatalinaTask;35;21;0.08333333333333333
org.apache.catalina.ant.BaseRedirectorHelperTask;34;17;0.4444444444444444
org.apache.catalina.ant.DeployTask;28;4;0.07692307692307693
org.apache.catalina.ant.JKStatusUpdateTask;60;4;0.1477832512315271
org.apache.catalina.ant.JMXGetTask;7;0;0.2
org.apache.catalina.ant.JMXQueryTask;4;0;0.3333333333333333
org.apache.catalina.ant.JMXSetTask;9;0;0.14285714285714285
org.apache.catalina.ant.ListTask;1;0;0.0
org.apache.catalina.ant.ReloadTask;5;0;0.3333333333333333
org.apache.catalina.ant.ResourcesTask;4;0;0.3333333333333333
org.apache.catalina.ant.RolesTask;1;0;0.0
org.apache.catalina.ant.ServerinfoTask;1;0;0.0
org.apache.catalina.ant.SessionsTask;5;0;0.3333333333333333
org.apache.catalina.ant.StartTask;5;0;0.3333333333333333
org.apache.catalina.ant.StopTask;5;0;0.3333333333333333
org.apache.catalina.ant.UndeployTask;4;0;0.3333333333333333
org.apache.catalina.ant.ValidatorTask;8;3;0.3333333333333333
org.apache.catalina.ant.jmx.Arg;5;0;0.2
org.apache.catalina.ant.jmx.JMXAccessorCondition;57;0;0.05846774193548387
org.apache.catalina.ant.jmx.JMXAccessorCreateTask;21;8;0.2222222222222222
org.apache.catalina.ant.jmx.JMXAccessorEqualsCondition;28;0;0.0735930735930736
org.apache.catalina.ant.jmx.JMXAccessorGetTask;9;1;0.6
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask;14;8;0.32142857142857145
org.apache.catalina.ant.jmx.JMXAccessorQueryTask;25;7;0.0
org.apache.catalina.ant.jmx.JMXAccessorSetTask;21;4;0.19696969696969696
org.apache.catalina.ant.jmx.JMXAccessorTask;122;18;0.025609756097560974
org.apache.catalina.ant.jmx.JMXAccessorUnregisterTask;5;0;0.0
org.apache.catalina.authenticator.AuthenticatorBase;98;77;0.07122507122507123
org.apache.catalina.authenticator.BasicAuthenticator;13;19;0.0
org.apache.catalina.authenticator.Constants;0;1;0.0
org.apache.catalina.authenticator.DigestAuthenticator;39;21;0.14285714285714285
org.apache.catalina.authenticator.FormAuthenticator;70;123;0.06666666666666667
org.apache.catalina.authenticator.NonLoginAuthenticator;3;1;0.0
org.apache.catalina.authenticator.SSLAuthenticator;13;23;0.0
org.apache.catalina.authenticator.SavedRequest;22;3;0.0
org.apache.catalina.authenticator.SingleSignOn;62;49;0.10989010989010989
org.apache.catalina.authenticator.SingleSignOnEntry;14;8;0.027777777777777776
org.apache.catalina.comet.CometEvent;6;0;0.0
org.apache.catalina.comet.CometFilter;1;0;0.0
org.apache.catalina.comet.CometFilterChain;1;0;0.0
org.apache.catalina.comet.CometProcessor;1;0;0.0
org.apache.catalina.connector.ClientAbortException;6;0;0.6666666666666666
org.apache.catalina.connector.CometEventImpl;14;14;0.15555555555555556
org.apache.catalina.connector.Connector;78;26;0.005805515239477504
org.apache.catalina.connector.Constants;0;0;0.0
org.apache.catalina.connector.CoyoteAdapter;174;243;0.07692307692307693
org.apache.catalina.connector.CoyoteInputStream;28;22;0.0
org.apache.catalina.connector.CoyoteOutputStream;7;1;0.0
org.apache.catalina.connector.CoyotePrincipal;2;0;0.0
org.apache.catalina.connector.CoyoteReader;29;1;0.0
org.apache.catalina.connector.CoyoteWriter;41;1;0.16666666666666666
org.apache.catalina.connector.InputBuffer;63;75;0.32105263157894737
org.apache.catalina.connector.MapperListener;68;68;0.06593406593406594
org.apache.catalina.connector.OutputBuffer;70;26;0.21082621082621084
org.apache.catalina.connector.Request;404;210;0.01921309064166207
org.apache.catalina.connector.RequestFacade;152;197;0.6760316066725197
org.apache.catalina.connector.Response;214;110;0.0745814307458143
org.apache.catalina.connector.ResponseFacade;84;66;0.12280701754385964
org.apache.catalina.core.ApplicationContext;207;117;0.013976240391334731
org.apache.catalina.core.ApplicationContextFacade;127;115;0.017857142857142856
org.apache.catalina.core.ApplicationDispatcher;128;161;0.05714285714285714
org.apache.catalina.core.ApplicationFilterChain;60;62;0.19696969696969696
org.apache.catalina.core.ApplicationFilterConfig;43;27;0.10476190476190476
org.apache.catalina.core.ApplicationFilterFactory;58;40;0.0
org.apache.catalina.core.ApplicationFilterRegistration;35;22;0.0
org.apache.catalina.core.ApplicationHttpRequest;121;51;0.05263157894736842
org.apache.catalina.core.ApplicationHttpResponse;39;2;0.7017543859649122
org.apache.catalina.core.ApplicationJspConfigDescriptor;2;0;0.0
org.apache.catalina.core.ApplicationJspPropertyGroupDescriptor;22;13;0.0
org.apache.catalina.core.ApplicationPart;23;11;0.05454545454545454
org.apache.catalina.core.ApplicationRequest;11;17;0.6666666666666666
org.apache.catalina.core.ApplicationResponse;14;2;0.5357142857142857
org.apache.catalina.core.ApplicationServletRegistration;41;27;0.0
org.apache.catalina.core.ApplicationSessionCookieConfig;36;17;0.058823529411764705
org.apache.catalina.core.ApplicationTaglibDescriptor;15;4;0.8333333333333334
org.apache.catalina.core.AprLifecycleListener;28;23;0.3611111111111111
org.apache.catalina.core.AsyncContextImpl;80;109;0.04923076923076923
org.apache.catalina.core.AsyncListenerWrapper;5;0;0.1
org.apache.catalina.core.Constants;0;1;0.0
org.apache.catalina.core.ContainerBase;181;54;0.1011764705882353
org.apache.catalina.core.DefaultInstanceManager;79;105;0.01818181818181818
org.apache.catalina.core.DummyRequest;130;1;3.6909448818897637E-4
org.apache.catalina.core.DummyResponse;66;0;0.0
org.apache.catalina.core.JasperListener;3;5;0.0
org.apache.catalina.core.JreMemoryLeakPreventionListener;32;21;0.23076923076923078
org.apache.catalina.core.NamingContextListener;201;191;0.26153846153846155
org.apache.catalina.core.StandardContext;684;315;0.00567288104999871
org.apache.catalina.core.StandardContextValve;31;29;0.0
org.apache.catalina.core.StandardEngine;29;15;0.016666666666666666
org.apache.catalina.core.StandardEngineValve;5;6;0.0
org.apache.catalina.core.StandardHost;76;35;0.013414634146341463
org.apache.catalina.core.StandardHostValve;45;80;0.03571428571428571
org.apache.catalina.core.StandardPipeline;62;24;0.30833333333333335
org.apache.catalina.core.StandardServer;75;35;0.11397849462365592
org.apache.catalina.core.StandardService;76;31;0.16666666666666666
org.apache.catalina.core.StandardThreadExecutor;50;18;0.17803030303030304
org.apache.catalina.core.StandardWrapper;209;83;0.019151846785225718
org.apache.catalina.core.StandardWrapperFacade;7;4;0.0
org.apache.catalina.core.StandardWrapperValve;89;128;0.21978021978021978
org.apache.catalina.deploy.ApplicationParameter;10;0;0.1111111111111111
org.apache.catalina.deploy.Constants;0;0;0.0
org.apache.catalina.deploy.ContextEjb;12;0;0.14285714285714285
org.apache.catalina.deploy.ContextEnvironment;8;0;0.2
org.apache.catalina.deploy.ContextHandler;18;1;0.01282051282051282
org.apache.catalina.deploy.ContextLocalEjb;12;0;0.14285714285714285
org.apache.catalina.deploy.ContextResource;9;0;0.2
org.apache.catalina.deploy.ContextResourceEnvRef;4;0;0.3333333333333333
org.apache.catalina.deploy.ContextResourceLink;7;0;0.1
org.apache.catalina.deploy.ContextService;39;2;0.023333333333333334
org.apache.catalina.deploy.ContextTransaction;7;1;0.0
org.apache.catalina.deploy.ErrorPage;12;0;0.21428571428571427
org.apache.catalina.deploy.FilterDef;20;0;0.011695906432748537
org.apache.catalina.deploy.FilterMap;27;11;0.07575757575757576
org.apache.catalina.deploy.Injectable;3;0;0.0
org.apache.catalina.deploy.InjectionTarget;4;0;0.3333333333333333
org.apache.catalina.deploy.JspPropertyGroup;24;0;0.018115942028985508
org.apache.catalina.deploy.LoginConfig;33;8;0.2727272727272727
org.apache.catalina.deploy.MessageDestination;11;0;0.14285714285714285
org.apache.catalina.deploy.MessageDestinationRef;9;0;0.2
org.apache.catalina.deploy.MultipartDef;29;8;0.4666666666666667
org.apache.catalina.deploy.NamingResources;65;63;0.06666666666666667
org.apache.catalina.deploy.ResourceBase;14;1;0.06593406593406594
org.apache.catalina.deploy.SecurityCollection;53;31;0.13725490196078433
org.apache.catalina.deploy.SecurityConstraint;75;29;0.12105263157894737
org.apache.catalina.deploy.SecurityRoleRef;6;0;0.2
org.apache.catalina.deploy.ServletDef;30;2;0.0
org.apache.catalina.deploy.SessionConfig;18;1;0.05228758169934641
org.apache.catalina.deploy.WebXml;446;446;0.02243502051983584
org.apache.catalina.filters.AddDefaultCharsetFilter;7;0;0.0
org.apache.catalina.filters.Constants;0;0;0.0
org.apache.catalina.filters.CsrfPreventionFilter;31;13;0.0
org.apache.catalina.filters.FilterBase;5;4;0.0
org.apache.catalina.filters.RemoteAddrFilter;3;3;0.0
org.apache.catalina.filters.RemoteHostFilter;3;3;0.0
org.apache.catalina.filters.RemoteIpFilter;93;73;0.012195121951219513
org.apache.catalina.filters.RequestDumperFilter;30;36;0.0
org.apache.catalina.filters.RequestFilter;24;7;0.0
org.apache.catalina.filters.WebdavFixFilter;12;6;0.0
org.apache.catalina.ha.CatalinaCluster;20;0;0.0
org.apache.catalina.ha.ClusterDeployer;7;0;0.0
org.apache.catalina.ha.ClusterListener;12;2;0.06666666666666667
org.apache.catalina.ha.ClusterManager;15;0;0.0
org.apache.catalina.ha.ClusterMessage;6;0;0.0
org.apache.catalina.ha.ClusterMessageBase;6;0;0.13333333333333333
org.apache.catalina.ha.ClusterRuleSet;1;0;0.0
org.apache.catalina.ha.ClusterSession;2;0;0.0
org.apache.catalina.ha.ClusterValve;2;0;0.0
org.apache.catalina.ha.Constants;0;0;0.0
org.apache.catalina.ha.authenticator.ClusterSingleSignOn;47;49;0.2761904761904762
org.apache.catalina.ha.authenticator.ClusterSingleSignOnListener;26;34;0.06666666666666667
org.apache.catalina.ha.authenticator.SingleSignOnMessage;22;0;0.0380952380952381
org.apache.catalina.ha.backend.CollectedInfo;11;5;1.0
org.apache.catalina.ha.backend.HeartbeatListener;22;7;0.0989010989010989
org.apache.catalina.ha.backend.MultiCastSender;7;14;0.0
org.apache.catalina.ha.backend.Proxy;0;1;0.0
org.apache.catalina.ha.backend.Sender;2;0;0.0
org.apache.catalina.ha.backend.TcpSender;28;17;1.0
org.apache.catalina.ha.context.ReplicatedContext;35;11;0.029411764705882353
org.apache.catalina.ha.deploy.FarmWarDeployer;101;50;0.03840682788051209
org.apache.catalina.ha.deploy.FileChangeListener;2;0;0.0
org.apache.catalina.ha.deploy.FileMessage;14;0;0.06593406593406594
org.apache.catalina.ha.deploy.FileMessageFactory;28;31;0.23809523809523808
org.apache.catalina.ha.deploy.UndeployMessage;14;0;0.07692307692307693
org.apache.catalina.ha.deploy.WarWatcher;31;10;0.03296703296703297
org.apache.catalina.ha.jmx.ClusterJmxHelper;19;13;0.0
org.apache.catalina.ha.session.BackupManager;40;17;0.052873563218390804
org.apache.catalina.ha.session.ClusterManagerBase;7;3;0.0
org.apache.catalina.ha.session.ClusterSessionListener;11;9;0.0
org.apache.catalina.ha.session.Constants;0;0;0.0
org.apache.catalina.ha.session.DeltaManager;253;176;0.035897435897435895
org.apache.catalina.ha.session.DeltaRequest;61;28;0.10507246376811594
org.apache.catalina.ha.session.DeltaSession;112;29;0.03974358974358974
org.apache.catalina.ha.session.JvmRouteBinderValve;57;34;0.08496732026143791
org.apache.catalina.ha.session.JvmRouteSessionIDBinderListener;19;24;0.06666666666666667
org.apache.catalina.ha.session.ReplicatedSession;37;1;0.010869565217391304
org.apache.catalina.ha.session.SerializablePrincipal;26;20;0.044444444444444446
org.apache.catalina.ha.session.SessionIDMessage;12;0;0.07575757575757576
org.apache.catalina.ha.session.SessionMessage;5;0;0.0
org.apache.catalina.ha.session.SessionMessageImpl;20;0;0.06666666666666667
org.apache.catalina.ha.session.SimpleTcpReplicationManager;91;63;0.030107526881720432
org.apache.catalina.ha.tcp.Constants;0;0;0.0
org.apache.catalina.ha.tcp.ReplicationValve;94;47;0.0855614973262032
org.apache.catalina.ha.tcp.SendMessageData;6;0;0.2
org.apache.catalina.ha.tcp.SimpleTcpCluster;129;52;0.026884862653419054
org.apache.catalina.ha.util.IDynamicProperty;4;0;0.0
org.apache.catalina.loader.Constants;0;0;0.0
org.apache.catalina.loader.JdbcLeakPrevention;3;1;0.0
org.apache.catalina.loader.ResourceEntry;0;0;0.0
org.apache.catalina.loader.StandardClassLoader;0;0;0.0
org.apache.catalina.loader.StandardClassLoaderMBean;0;0;0.0
